CATEGORY,ITEM CODE,DESCRIPTION,SUPPLIER,UNIT PRICE,OPENING STOCKS,PURCHASE QUANTITY,SALES QUANTITY,ENDING STOCKS,RETAIL PRICE
BRAKE,BRA013,BRAKE MASTER REPAIR KIT - CW,PANGMASA,35,2,0,0,2,80
BRAKE,BRA014,BRAKE MASTER REPAIR KIT MIO,WALKIN,30,0,0,0,0,100
BRAKE,BRA125,BRAKE MASTER REPAIR KIT MIO - CSL,ARB18,22,13,0,0,13,80
BRAKE,BRA120,BRAKE MASTER REPAIR KIT MIO - YSK,ARB18,35,2,0,0,2,100
BRAKE,BRA015,BRAKE MASTER REPAIR KIT NMAX,WALKIN,80,0,0,0,0,110
BRAKE,BRA107,BRAKE PAD ADV/PCX FRONT - ZENO,WEDZZ,70,3,0,0,3,130
BRAKE,BRA113,BRAKE PAD ADV/PCX REAR - ZENO,WEDZZ,70,2,0,0,2,130
BRAKE,BRA023,BRAKE PAD ADV150 FR - RBR,WALKIN,60,4,0,0,4,120
BRAKE,BRA017,BRAKE PAD BEAT - RACING PROJECT,PANGMASA,30,2,0,0,2,70
BRAKE,BRA097,BRAKE PAD BEAT - RZ,WEDZZ,25,4,0,0,4,90
BRAKE,BRA101,BRAKE PAD BEAT FRONT - ZENO,WEDZZ,70,5,0,0,5,130
BRAKE,BRA019,BRAKE PAD BEAT/BEATFI/CLICK125v1/CLICK150v1 - KRYON,BAMC,35,3,0,0,3,100
BRAKE,BRA080,BRAKE PAD BEATFi/BURGMAN ASPIRA,ARB18,111,10,0,0,10,180
BRAKE,BRA020,BRAKE PAD BENDIX MD30,WALKIN,200,1,0,0,1,250
BRAKE,BRA099,BRAKE PAD CLICK - RZ,WEDZZ,25,0,0,0,0,90
BRAKE,BRA102,BRAKE PAD CLICK150 - ZENO,WEDZZ,70,1,0,0,1,130
BRAKE,BRA100,BRAKE PAD M3//AEROX/NMAX FRONT - ZENO,WEDZZ,70,0,0,0,0,130
BRAKE,BRA027,BRAKE PAD MD5 - BENDIX,WALKIN,182,2,0,0,2,250
BRAKE,BRA085,BRAKE PAD MIO M3 - DYNO,ARB18,68,2,0,0,2,120
BRAKE,BRA128,BRAKE PAD MIO SOUL/LC135,ARB18,60,7,0,0,7,120
BRAKE,BRA127,BRAKE PAD MIO SOUL125/LC135,ARB18,67,14,0,0,14,120
BRAKE,BRA121,BRAKE PAD MIO125 - CSL,ARB18,42,1,0,0,1,100
BRAKE,BRA029,BRAKE PAD MIOi125/MIOM3 - KRYON,BAMC,45,1,0,0,1,100
BRAKE,BRA026,BRAKE PAD MIOM3/BEAT/RAIDER150 - MY RACING,ARB18,31,6,0,0,6,90
BRAKE,BRA091,BRAKE PAD MIXED,WALKIN,40,4,0,0,4,80
BRAKE,BRA032,BRAKE PAD PCX/ADV150 RR - PITSBIKE,WALKIN,98,0,0,0,0,160
BRAKE,BRA031,BRAKE PAD PCX150 RR - NISSIN,WALKIN,68,2,0,0,2,110
BRAKE,BRA033,BRAKE PAD R150 - KHC,PANGMASA,30,0,0,0,0,70
BRAKE,BRA122,BRAKE PAD R150/SMASH/SHOGUN - GPC,ARB18,53,4,0,0,4,120
BRAKE,BRA110,BRAKE PAD RAIDER150FI - DYNO PRO,WEDZZ,70,0,0,0,0,130
BRAKE,BRA112,BRAKE PAD RAIDERFI - GRS,WEDZZ,25,5,0,0,5,90
BRAKE,BRA036,BRAKE PAD RAIDERFI - KRS,PANGMASA,30,0,0,0,0,80
BRAKE,BRA108,BRAKE PAD RAIDERFI - SMOK,WEDZZ,70,9,0,0,9,130
BRAKE,BRA035,BRAKE PAD RAIDERFI - YAKIMUTO,PANGMASA,30,0,0,0,0,80
BRAKE,BRA111,BRAKE PAD RAIDERFI REAR - DYNO PRO,WEDZZ,70,5,0,0,5,130
BRAKE,BRA037,BRAKE PAD REAR RS150 - BENDIX,WALKIN,182,1,0,0,1,230
BRAKE,BRA038,BRAKE PAD SHOGUN - KHC,PANGMASA,30,5,0,0,5,60
BRAKE,BRA039,BRAKE PAD SHOGUN - YJ,PANGMASA,30,2,0,0,2,60
BRAKE,BRA041,BRAKE PAD SNIPER135 - CW,PANGMASA,47,4,0,0,4,100
BRAKE,BRA042,BRAKE PAD SNIPER135 - MRTR,BAMC,35,0,0,0,0,100
BRAKE,BRA103,BRAKE PAD SNIPER155 FRONT - ZENO,WEDZZ,70,4,0,0,4,130
BRAKE,BRA104,BRAKE PAD SNIPER155 REAR - ZENO,WEDZZ,70,1,0,0,1,130
BRAKE,BRA043,BRAKE PAD SPORTY - NISSIN,WALKIN,90,2,0,0,2,120
BRAKE,BRA109,BRAKE PAD WAVE100 - SMOK,WEDZZ,70,3,0,0,3,130
BRAKE,BRA098,BRAKE PAD WAVE100/110 - RZ,WEDZZ,25,4,0,0,4,90
BRAKE,BRA096,BRAKE PAD WAVE125 - RZ,WEDZZ,25,3,0,0,3,90
BRAKE,BRA105,BRAKE PAD WAVE125 - ZENO,WEDZZ,70,4,0,0,4,130
BRAKE,BRA046,BRAKE PAD XRM TRINITY - NISSIN,WALKIN,64,2,0,0,2,150
BRAKE,BRA106,BRAKE PAD XRM TRINITY - ZENO,WEDZZ,70,3,0,0,3,130
BRAKE,BRA088,BRAKE PAD XRM/TRINITY/DASH,ARB18,35,2,0,0,2,80
BRAKE,BRA047,BRAKE PAD XRM110/WAVE125/SKYDRIVE - KRYON,BAMC,35,3,0,0,3,100
BRAKE,BRA048,BRAKE PANEL CT100 RR - KRYON,BAMC,165,1,0,0,1,280
BRAKE,BRA049,BRAKE PANEL TMX125 ALPHA WITH BOX RR - MSK,BAMC,307,1,0,0,1,410
BRAKE,BRA050,BRAKE PANEL TMX155 WITH BOX RR - MSK,BAMC,311,1,0,0,1,420
BRAKE,BRA051,BRAKE ROD +2 UNIVERSAL - NUI,WALKIN,450,1,0,0,1,700
BRAKE,BRA052,BRAKE ROD TMX,WEDZZ,35,8,0,0,8,80
BRAKE,BRA053,BRAKE ROD XRM,WEDZZ,39,9,0,0,9,80
BRAKE,BRA055,BRAKE SHOE BAJAJ - GRS,PANGMASA,55,2,0,0,2,90
BRAKE,BRA056,BRAKE SHOE BARAKO175 - MAKOTO,WALKIN,170,0,0,0,0,170
BRAKE,BRA057,BRAKE SHOE BC175 - KRYON,PANGMASA,102,1,0,0,1,170
BRAKE,BRA058,BRAKE SHOE BEAT,WALKIN,140,1,0,0,1,220
BRAKE,BRA059,BRAKE SHOE BEAT - GRS,PANGMASA,75,4,0,0,4,110
BRAKE,BRA081,BRAKE SHOE BEAT/CLICK - ASPIRA,ARB18,155,0,0,0,0,250
BRAKE,BRA060,BRAKE SHOE BEAT/CLICK - KRYON,ARB18,98,0,0,0,0,180
BRAKE,BRA114,BRAKE SHOE BEAT/CLICK - KRYON,ARB18,98,0,0,0,0,180
BRAKE,BRA094,BRAKE SHOE BEAT/CLICK - YELLOW,ARB18,127,5,0,0,5,250
BRAKE,BRA123,BRAKE SHOE CLICK125/150 - SKS,ARB18,104,8,0,0,8,180
BRAKE,BRA061,BRAKE SHOE HB TMX155 FR - MAKOTO,WALKIN,140,2,0,0,2,210
BRAKE,BRA115,BRAKE SHOE HD3 REAR CT125 - SKS,ARB18,80,2,0,0,2,150
BRAKE,BRA062,BRAKE SHOE HD3 RR- MRTR,WALKIN,90,1,0,0,1,140
BRAKE,BRA063,BRAKE SHOE HD3/RS100 BILP - KRS,ARB18,84,0,0,0,0,140
BRAKE,BRA093,BRAKE SHOE MIO - MAKOTO,ARB18,170,9,0,0,9,260
BRAKE,BRA067,BRAKE SHOE MIO - MRTR,PANGMASA,99,1,0,0,1,150
BRAKE,BRA087,BRAKE SHOE MIO - MSB,ARB18,96,0,0,0,0,160
BRAKE,BRA118,BRAKE SHOE MIO - OTAKA,WEDZZ,100,0,0,0,0,250
BRAKE,BRA117,BRAKE SHOE MIO - SAIYAN,WEDZZ,129,2,0,0,2,250
BRAKE,BRA095,BRAKE SHOE MIO - SKS,ARB18,102,0,0,0,0,160
